time,Open,High,Low,Close,Volume
2025-08-07 01:45:00,3372.03,3372.54,3370.71,3371.99,856
2025-08-07 02:00:00,3371.95,3372.03,3368.84,3370.35,850
2025-08-07 02:15:00,3370.34,3371.44,3368.76,3369.04,611
2025-08-07 02:30:00,3369.01,3369.41,3367.71,3368.76,1059
2025-08-07 02:45:00,3368.82,3370.74,3368.49,3370.26,2009
2025-08-07 03:00:00,3370.22,3370.77,3365.26,3369.88,2542
2025-08-07 03:15:00,3369.84,3372.93,3369.29,3372.36,3478
2025-08-07 03:30:00,3372.51,3374.8,3371.59,3371.68,3771
2025-08-07 03:45:00,3371.64,3373.44,3370.05,3372.26,3183
2025-08-07 04:00:00,3372.29,3376.7,3370.12,3376.35,5045
2025-08-07 04:15:00,3376.42,3378.29,3375.09,3378.12,3830
2025-08-07 04:30:00,3378.11,3382.12,3377.65,3381.76,3265
2025-08-07 04:45:00,3381.66,3382.55,3379.65,3382.31,2261
2025-08-07 05:00:00,3382.33,3384.07,3380.43,3381.88,1834
2025-08-07 05:15:00,3381.72,3381.85,3378.58,3378.99,2230
2025-08-07 05:30:00,3378.97,3381.53,3378.27,3380.92,1095
2025-08-07 05:45:00,3380.95,3381.7,3379.54,3379.54,905
2025-08-07 06:00:00,3379.55,3379.74,3376.98,3377.85,1486
2025-08-07 06:15:00,3377.88,3378.36,3376.56,3378.07,824
2025-08-07 06:30:00,3378.05,3379.18,3376.89,3377.57,1289
2025-08-07 06:45:00,3377.64,3380.31,3377.61,3379.76,1949
2025-08-07 07:00:00,3379.77,3380.28,3377.9,3378.49,1344
2025-08-07 07:15:00,3378.5,3380.63,3377.45,3377.94,1596
2025-08-07 07:30:00,3377.97,3379.73,3377.91,3378.6,1227
2025-08-07 07:45:00,3378.62,3379.67,3376.86,3377.61,1168
2025-08-07 08:00:00,3377.74,3381.04,3377.41,3378.87,2762
2025-08-07 08:15:00,3378.88,3379.77,3377.35,3379.73,1827
2025-08-07 08:30:00,3379.7,3379.78,3372.36,3372.44,3036
2025-08-07 08:45:00,3372.4,3375.98,3371.64,3375.51,3943
2025-08-07 09:00:00,3375.58,3379.11,3375.14,3378.52,4556
2025-08-07 09:15:00,3378.56,3380.83,3377.57,3380.38,3402
2025-08-07 09:30:00,3380.4,3386.31,3380.07,3385.3,2277
2025-08-07 09:45:00,3385.71,3387.83,3383.96,3387.77,2026
2025-08-07 10:00:00,3387.81,3388.49,3386.29,3387.97,2250
2025-08-07 10:15:00,3387.98,3393.79,3387.89,3392.32,2729
2025-08-07 10:30:00,3392.26,3396.32,3392.09,3394.78,4810
2025-08-07 10:45:00,3394.79,3397.34,3393.43,3396.22,3420
2025-08-07 11:00:00,3396.25,3396.68,3380.13,3381.59,7002
2025-08-07 11:15:00,3381.66,3381.92,3373.03,3374.39,6247
2025-08-07 11:30:00,3374.37,3379.82,3372.48,3378.62,4430
2025-08-07 11:45:00,3378.63,3382.52,3377.75,3378.59,4871
2025-08-07 12:00:00,3378.62,3381.35,3376.45,3381.0,4457
2025-08-07 12:15:00,3380.94,3381.21,3376.55,3376.91,4467
2025-08-07 12:30:00,3376.9,3378.57,3373.37,3378.57,4721
2025-08-07 12:45:00,3378.45,3380.67,3376.53,3376.77,2071
2025-08-07 13:00:00,3376.88,3377.71,3374.7,3377.66,2371
2025-08-07 13:15:00,3377.68,3378.82,3374.59,3374.6,2140
2025-08-07 13:30:00,3374.61,3378.29,3374.49,3377.35,2208
2025-08-07 13:45:00,3377.27,3377.36,3371.75,3373.0,2288
2025-08-07 14:00:00,3372.98,3380.24,3371.82,3380.18,6204
2025-08-07 14:15:00,3380.16,3383.16,3379.07,3381.94,4156
2025-08-07 14:30:00,3381.91,3383.38,3375.89,3379.08,5341
2025-08-07 14:45:00,3379.08,3379.34,3376.31,3378.26,3810
2025-08-07 15:00:00,3378.25,3380.46,3375.3,3376.41,3248
2025-08-07 15:15:00,3376.42,3381.99,3376.3,3381.19,2729
2025-08-07 15:30:00,3380.73,3389.71,3380.67,3385.04,12480
2025-08-07 15:45:00,3385.05,3385.3,3379.83,3380.8,6001
2025-08-07 16:00:00,3380.83,3385.42,3380.12,3384.71,4918
2025-08-07 16:15:00,3384.71,3387.43,3382.45,3386.55,4593
2025-08-07 16:30:00,3386.56,3391.09,3385.88,3390.58,8028
2025-08-07 16:45:00,3390.56,3393.85,3384.8,3384.96,7427
2025-08-07 17:00:00,3384.91,3390.08,3375.19,3390.08,10514
2025-08-07 17:15:00,3390.04,3390.31,3379.51,3382.15,8793
2025-08-07 17:30:00,3382.11,3389.26,3380.66,3387.33,7093
2025-08-07 17:45:00,3387.31,3389.38,3385.7,3387.84,5659
2025-08-07 18:00:00,3387.92,3390.14,3386.71,3389.38,4708
2025-08-07 18:15:00,3389.46,3390.31,3384.38,3386.05,3154
2025-08-07 18:30:00,3386.04,3388.77,3385.2,3386.22,2976
2025-08-07 18:45:00,3386.2,3390.84,3386.09,3390.22,2884
2025-08-07 19:00:00,3390.17,3392.64,3390.11,3390.73,3391
2025-08-07 19:15:00,3390.72,3391.68,3389.38,3389.74,2393
2025-08-07 19:30:00,3389.77,3390.24,3387.18,3388.46,2384
2025-08-07 19:45:00,3388.49,3390.15,3387.98,3388.87,1949
2025-08-07 20:00:00,3388.88,3389.09,3384.93,3385.6,3494
2025-08-07 20:15:00,3385.58,3389.16,3384.39,3389.0,4429
2025-08-07 20:30:00,3388.96,3392.15,3388.03,3391.64,2774
2025-08-07 20:45:00,3391.66,3393.03,3391.64,3392.26,2044
2025-08-07 21:00:00,3392.28,3393.96,3391.36,3391.39,2256
2025-08-07 21:15:00,3391.38,3392.34,3389.05,3389.13,2409
2025-08-07 21:30:00,3389.12,3390.89,3388.46,3389.01,2342
2025-08-07 21:45:00,3389.04,3390.14,3387.65,3388.22,1783
2025-08-07 22:00:00,3388.24,3389.64,3387.32,3388.85,1857
2025-08-07 22:15:00,3388.82,3390.16,3388.68,3389.87,2424
2025-08-07 22:30:00,3389.85,3399.93,3389.81,3399.58,6549
2025-08-07 22:45:00,3399.54,3400.78,3396.91,3399.77,5101
2025-08-07 23:00:00,3399.75,3400.94,3397.9,3400.05,3290
2025-08-07 23:15:00,3400.09,3401.76,3399.52,3401.18,2124
2025-08-07 23:30:00,3401.17,3401.97,3396.84,3398.95,3097
2025-08-07 23:45:00,3398.94,3399.09,3392.44,3396.47,3798
2025-08-08 01:00:00,3403.51,3408.37,3391.13,3393.64,2442
2025-08-08 01:15:00,3394.65,3394.65,3389.01,3392.83,4097
2025-08-08 01:30:00,3392.79,3404.13,3390.19,3401.72,5099
2025-08-08 01:45:00,3401.25,3407.03,3394.53,3405.35,2975
2025-08-08 02:00:00,3405.29,3406.43,3397.73,3399.83,1249
2025-08-08 02:15:00,3399.61,3400.95,3397.23,3397.32,1301
2025-08-08 02:30:00,3397.5,3401.86,3396.55,3401.07,775
2025-08-08 02:45:00,3401.06,3402.08,3394.52,3400.53,1932
2025-08-08 03:00:00,3400.52,3402.38,3397.48,3399.71,10809
2025-08-08 03:15:00,3399.73,3399.98,3391.25,3391.96,7085
2025-08-08 03:30:00,3391.9,3394.35,3389.53,3394.28,5527
2025-08-08 03:45:00,3394.29,3395.44,3387.54,3390.02,5643
2025-08-08 04:00:00,3390.21,3391.08,3382.71,3384.76,8345
2025-08-08 04:15:00,3384.75,3385.79,3381.64,3384.46,7258
2025-08-08 04:30:00,3384.53,3385.63,3380.99,3382.99,5153
2025-08-08 04:45:00,3383.03,3385.7,3382.19,3383.46,4838
2025-08-08 05:00:00,3383.52,3387.94,3383.17,3387.36,3865
2025-08-08 05:15:00,3387.37,3388.26,3386.04,3386.74,3305
2025-08-08 05:30:00,3386.78,3389.69,3386.12,3388.61,4064
2025-08-08 05:45:00,3388.6,3389.82,3387.52,3388.38,4827
2025-08-08 06:00:00,3388.36,3388.68,3383.53,3386.19,3772
2025-08-08 06:15:00,3386.18,3389.76,3384.6,3388.71,4206
2025-08-08 06:30:00,3388.71,3397.83,3388.53,3395.8,5466
2025-08-08 06:45:00,3395.78,3396.96,3394.35,3395.88,4277
2025-08-08 07:00:00,3395.86,3397.18,3394.81,3396.44,2770
2025-08-08 07:15:00,3396.45,3399.04,3395.86,3397.87,2269
2025-08-08 07:30:00,3397.89,3398.75,3396.05,3397.57,3231
2025-08-08 07:45:00,3397.59,3399.42,3393.21,3394.3,3593
2025-08-08 08:00:00,3394.34,3395.99,3392.43,3393.98,3250
2025-08-08 08:15:00,3393.96,3395.84,3390.61,3391.8,3105
2025-08-08 08:30:00,3391.79,3394.05,3390.2,3392.22,3190
2025-08-08 08:45:00,3392.19,3394.24,3391.4,3392.23,2835
2025-08-08 09:00:00,3392.24,3398.01,3391.93,3394.79,4493
2025-08-08 09:15:00,3394.84,3395.73,3392.46,3393.92,4427
2025-08-08 09:30:00,3393.89,3395.28,3389.41,3390.16,4944
2025-08-08 09:45:00,3390.15,3395.03,3388.79,3393.48,3569
2025-08-08 10:00:00,3393.46,3400.48,3393.46,3396.22,4745
2025-08-08 10:15:00,3396.23,3397.63,3394.33,3395.01,3928
2025-08-08 10:30:00,3395.1,3400.34,3391.45,3398.58,8453
2025-08-08 10:45:00,3398.64,3404.32,3398.04,3402.0,8984
2025-08-08 11:00:00,3402.12,3402.64,3400.22,3400.86,5685
